,Static (M),Dynamic Allocation,Static (M),Static (M),Static (M),Static (M),Static (M)
2021-12-02 15:34:40.112396,,,,-0.0284697867057438,,,
2021-12-03 13:09:40.203909,-0.0369621166532931,,,,,,
2021-12-03 15:34:40.112396,,,,-0.0161661794130784,,,
2021-12-06 13:09:40.203909,-0.0400213587895237,,,,,,
2021-12-06 15:34:40.112396,,,,-0.0214699153360956,,,
2021-12-07 13:09:40.203909,-0.0444000091779932,,,,,,
2021-12-07 15:34:40.112396,,,,-0.0127476155458785,,,
2021-12-08 13:09:40.203909,-0.0478641830580386,,,,,,
2021-12-08 15:34:40.112396,,,,-0.0239718892616384,,,
2021-12-09 13:09:40.203909,-0.0448165319287834,,,,,,
2021-12-09 15:34:40.112396,,,,-0.0192462964318462,,,
2021-12-10 13:09:40.203909,-0.0405729180238644,,,,,,
2021-12-10 15:34:40.112396,,,,-0.0323287797768417,,,
2021-12-13 13:09:40.203909,-0.042546472667736,,,,,,
2021-12-13 15:34:40.112396,,,,-0.0266021447094767,,,
2021-12-14 13:09:40.203909,-0.05081129467179,,,,,,
2021-12-14 15:34:40.112396,,,,-0.0322110125007317,,,
2021-12-15 13:09:40.203909,-0.0566043116772513,,,,,,
2021-12-15 15:34:40.112396,,,,-0.0418945878603892,,,
2021-12-16 13:09:40.203909,-0.0500195684666425,,,,,,
2021-12-16 15:34:40.112396,,,,-0.0532928671891469,,,
2021-12-17 13:09:40.203909,-0.0489631706391239,,,,,,
2021-12-17 15:34:40.112396,,,,-0.0608038478572875,,,
2021-12-20 13:09:40.203909,-0.0494903606113152,,,,,,
2021-12-20 15:34:40.112396,,,,-0.0643289276525006,,,
2021-12-21 13:09:40.203909,-0.0434616729596505,,,,,,
2021-12-21 15:34:40.112396,,,,-0.0605251335373797,,,
2021-12-22 13:09:40.203909,-0.0368463605803639,,,,,,
2021-12-22 15:34:40.112396,,,,-0.053806286518115,,,
2021-12-23 13:09:40.203909,-0.0391266062063351,,,,,,
2021-12-23 15:34:40.112396,,,,-0.0558390838486426,,,
2021-12-24 13:09:40.203909,-0.0415222797284494,,,,,,
2021-12-24 15:34:40.112396,,,,-0.0467529844509418,,,
2021-12-27 13:09:40.203909,-0.0268064508794514,,,,,,
2021-12-27 15:34:40.112396,,,,-0.0528424649598082,,,
2021-12-28 13:09:40.203909,-0.0221129884507751,,,,,,
2021-12-28 15:34:40.112396,,,,-0.0561443206079546,,,
2021-12-29 13:09:40.203909,-0.0339939945313185,,,,,,
2021-12-29 15:34:40.112396,,,,-0.0543716165181128,,,
2021-12-30 13:09:40.203909,-0.0365520088601223,,,,,,
2021-12-30 15:34:40.112396,,,,-0.0672378624235182,,,
2021-12-31 13:09:40.203909,-0.0317423733540831,,,,,,
2021-12-31 15:34:40.112396,,,,-0.0551415319377219,,,
2022-01-03 13:09:40.203909,-0.0352105178832775,,,,,,
2022-01-03 15:34:40.112396,,,,-0.0534921696044031,,,
2022-01-04 13:09:40.203909,-0.0389024314427038,,,,,,
2022-01-04 15:34:40.112396,,,,-0.0445929229467734,,,
2022-01-05 13:09:40.203909,-0.0364500021182432,,,,,,
2022-01-05 15:34:40.112396,,,,-0.0390410588722671,,,
2022-01-06 13:09:40.203909,-0.0356249577826713,,,,,,
2022-01-06 15:34:40.112396,,,,-0.0201347614791167,,,
2022-01-07 13:09:40.203909,-0.0178934618066127,,,,,,
2022-01-07 15:34:40.112396,,,,-0.0245357572585775,,,
2022-01-10 13:09:40.203909,-0.0104161568970774,,,,,,
2022-01-10 15:34:40.112396,,,,-0.0266363053483501,,,
2022-01-11 13:09:40.203909,-0.0050416318024221,,,,,,
2022-01-11 15:34:40.112396,,,,-0.0200472100660388,,,
2022-01-12 13:09:40.203909,-0.0054814332772906,,,,,,
2022-01-12 15:34:40.112396,,,,-0.0127150519415824,,,
2022-01-13 13:09:40.203909,-0.0014840451990901,,,,,,
2022-01-13 15:34:40.112396,,,,-0.0127092826800545,,,
2022-01-14 13:09:40.203909,0.0,,,,,,
2022-01-14 15:34:40.112396,,,,-0.0030678285463209,,,
2022-01-17 13:09:40.203909,-0.0030934443813576,,,,,,
2022-01-17 15:34:40.112396,,,,-0.0015058730080887,,,
2022-01-18 13:09:40.203909,0.0,,,,,,
2022-01-18 15:34:40.112396,,,,-0.0110698427839557,,,
2022-01-19 13:09:40.203909,0.0,,,,,,
2022-01-19 15:34:40.112396,,,,-0.0139696555780026,,,
2022-01-20 13:09:40.203909,-0.0024584145833516,,,,,,
2022-01-20 15:34:40.112396,,,,-0.0139569152589499,,,
2022-01-21 13:09:40.203909,-0.002181585149607,,,,,,
2022-01-21 15:34:40.112396,,,,-0.0129793444283893,,,
2022-01-24 13:09:40.203909,-0.0025324429123854,,,,,,
2022-01-24 15:34:40.112396,,,,-0.0015681566407348,,,
2022-01-25 13:09:40.203909,-0.008256949517195,,,,,,
2022-01-25 15:34:40.112396,,,,0.0,,,
2022-01-26 13:09:40.203909,-0.0060482995183901,,,,,,
2022-01-26 15:34:40.112396,,,,-0.0063024726649945,,,
2022-01-27 13:09:40.203909,-0.0102772425337988,,,,,,
2022-01-27 15:34:40.112396,,,,0.0,,,
2022-01-28 13:09:40.203909,-0.0104476553195719,,,,,,
2022-01-28 15:34:40.112396,,,,-0.0266972209878453,,,
2022-01-31 13:09:40.203909,-0.0160857415554345,,,,,,
2022-01-31 15:34:40.112396,,,,-0.039535589182298,,,
2022-02-01 13:09:40.203909,-0.0089578854173268,,,,,,
2022-02-01 15:34:40.112396,,,,-0.0339490011930695,,,
2022-02-02 13:09:40.203909,-0.0055733891114744,,,,,,
2022-02-02 15:34:40.112396,,,,-0.0087344366290432,,,
2022-02-03 13:09:40.203909,-0.0112119096685573,,,,,,
2022-02-03 15:34:40.112396,,,,-0.0085429077295589,,,
2022-02-04 13:09:40.203909,-0.0080360113961293,,,,,,
2022-02-04 15:34:40.112396,,,,-0.0085222454426319,,,
2022-02-07 13:09:40.203909,-0.0142371559179971,,,,,,
2022-02-07 15:34:40.112396,,,,-0.0058557704177248,,,
2022-02-08 13:09:40.203909,-0.0128434768158609,,,,,,
2022-02-08 15:34:40.112396,,,,-0.011839382314558,,,
2022-02-09 13:09:40.203909,-0.0218715046292495,,,,,,
2022-02-09 15:34:40.112396,,,,-0.0156747899581504,,,
2022-02-10 13:09:40.203909,-0.0223811754923446,,,,,,
2022-02-10 15:34:40.112396,,,,-0.0236232810881783,,,
2022-02-11 13:09:40.203909,-0.0166062290919477,,,,,,
2022-02-11 15:34:40.112396,,,,-0.0341979442263377,,,
2022-02-14 13:09:40.203909,-0.0188813058789618,,,,,,
2022-02-14 15:34:40.112396,,,,-0.050097601220326,,,
2022-02-15 13:09:40.203909,-0.0254996595065986,,,,,,
2022-02-15 15:34:40.112396,,,,-0.0393636603599296,,,
2022-02-16 13:09:40.203909,-0.0262481903369397,,,,,,
2022-02-16 15:34:40.112396,,,,-0.034489774412277,,,
2022-02-17 13:09:40.203909,-0.0398622166004509,,,,,,
2022-02-17 15:34:40.112396,,,,-0.0409354361465248,,,
2022-02-18 13:09:40.203909,-0.0342366777599404,,,,,,
2022-02-18 15:34:40.112396,,,,-0.0426798972959197,,,
2022-02-21 13:09:40.203909,-0.0277279682186116,,,,,,
2022-02-21 15:34:40.112396,,,,-0.0479698866914019,,,
2022-02-22 13:09:40.203909,-0.0186431215468232,,,,,,
2022-02-22 15:34:40.112396,,,,-0.0509952828781495,,,
2022-02-23 13:09:40.203909,-0.0128741905357989,,,,,,
2022-02-23 15:34:40.112396,,,,-0.0403245925183647,,,
2022-02-24 13:09:40.203909,-0.0093617480533981,,,,,,
2022-02-24 15:34:40.112396,,,,-0.0326583564075808,,,
2022-02-25 13:09:40.203909,-0.0050828329154262,,,,,,
2022-02-25 15:34:40.112396,,,,-0.039221610643242,,,
2022-02-28 13:09:40.203909,-0.001790954800098,,,,,,
2022-02-28 15:34:40.112396,,,,-0.0332283417928969,,,
2022-03-01 13:09:40.203909,0.0,,,,,,
2022-03-01 15:34:40.112396,,,,-0.01870506127335,,,
2022-03-02 13:09:40.203909,0.0,,,,,,
2022-03-02 15:34:40.112396,,,,-0.00681895309332,,,
2022-03-03 13:09:40.203909,0.0,,,,,,
2022-03-03 15:34:40.112396,,,,-0.021707912449655,,,
2022-03-04 13:09:40.203909,0.0,,,,,,
2022-03-04 15:34:40.112396,,,,-0.0322142459877069,,,
2022-03-07 13:09:40.203909,-0.0119079640718812,,,,,,
2022-03-07 15:34:40.112396,,,,-0.0452150965156319,,,
2022-03-08 13:09:40.203909,-0.0082155167501053,,,,,,
2022-03-08 15:34:40.112396,,,,-0.0537652763915709,,,
2022-03-09 13:09:40.203909,0.0,,,,,,
2022-03-09 15:34:40.112396,,,,-0.0461818206723186,,,
2022-03-10 13:09:40.203909,0.0,,,,,,
2022-03-10 15:34:40.112396,,,,-0.0348534125922239,,,
2022-03-11 13:09:40.203909,0.0,,,,,,
2022-03-11 15:34:40.112396,,,,-0.0330535456247483,,,
2022-03-14 13:09:40.203909,0.0,,,,,,
2022-03-14 15:34:40.112396,,,,-0.0473610143519048,,,
2022-03-15 13:09:40.203909,-0.0062225956406301,,,,,,
2022-03-15 15:34:40.112396,,,,-0.0469568661296214,,,
2022-03-16 13:09:40.203909,-0.008809228199212,,,,,,
2022-03-16 15:34:40.112396,,,,-0.0437459512905464,,,
2022-03-17 13:09:40.203909,-0.0095128667467834,,,,,,
2022-03-17 15:34:40.112396,,,,-0.0381577021338791,,,
2022-03-18 13:09:40.203909,-0.0060430672888452,,,,,,
2022-03-18 15:34:40.112396,,,,-0.024830738377802,,,
2022-03-21 13:09:40.203909,-0.0065411993862956,,,,,,
2022-03-21 15:34:40.112396,,,,-0.0191509380557227,,,
2022-03-22 13:09:40.203909,-0.0091859455206757,,,,,,
2022-03-22 15:34:40.112396,,,,-0.0273376466987782,,,
2022-03-23 13:09:40.203909,-0.0064006045626312,,,,,,
2022-03-23 15:34:40.112396,,,,-0.033957786422886,,,
2022-03-24 13:09:40.203909,-0.0012476789045713,,,,,,
2022-03-24 15:34:40.112396,,,,-0.0448651430692975,,,
2022-03-25 13:09:40.203909,0.0,,,,,,
2022-03-25 15:34:40.112396,,,,-0.0321298725522501,,,
2022-03-28 13:09:40.203909,-0.011563055378547,,,,,,
2022-03-28 15:34:40.112396,,,,-0.0296327485407889,,,
2022-03-29 13:09:40.203909,-0.0264476987698889,,,,,,
2022-03-29 15:34:40.112396,,,,-0.0219586092315324,,,
2022-03-30 13:09:40.203909,-0.0167362215854767,,,,,,
2022-03-30 15:34:40.112396,,,,-0.0202771591141187,,,
2022-03-31 13:09:40.203909,-0.0098931451976692,,,,,,
2022-03-31 15:34:40.112396,,,,-0.0176011800215717,,,
2022-04-01 13:09:40.203909,-0.0192415342009617,,,,,,
2022-04-01 15:34:40.112396,,,,-0.0074164054098744,,,
2022-04-04 13:09:40.203909,-0.0139975610820682,,,,,,
2022-04-04 15:34:40.112396,,,,-0.0065398750984347,,,
2022-04-05 13:09:40.203909,-0.0158669679838435,,,,,,
2022-04-05 15:34:40.112396,,,,0.0,,,
2022-04-06 13:09:40.203909,-0.0192703350350311,,,,,,
2022-04-06 15:34:40.112396,,,,0.0,,,
2022-04-07 13:09:40.203909,-0.0144547821861577,,,,,,
2022-04-07 15:34:40.112396,,,,-0.0091518187100683,,,
2022-04-08 13:09:40.203909,-0.0017949908940853,,,,,,
2022-04-08 15:34:40.112396,,,,-0.0088964132010119,,,
2022-04-11 13:09:40.203909,0.0,,,,,,
2022-04-11 15:34:40.112396,,,,0.0,,,
2022-04-12 13:09:40.203909,0.0,,,,,,
2022-04-12 15:34:40.112396,,,,0.0,,,
2022-04-13 13:09:40.203909,0.0,,,,,,
2022-04-13 15:34:40.112396,,,,-0.0025684816565447,,,
2022-04-14 13:09:40.203909,-0.0035552221213803,,,,,,
2022-04-14 15:34:40.112396,,,,0.0,,,
2022-04-15 13:09:40.203909,-0.0162812432613513,,,,,,
2022-04-15 15:34:40.112396,,,,0.0,,,
2022-04-18 13:09:40.203909,-0.0123937373245297,,,,,,
2022-04-18 15:34:40.112396,,,,-0.0052318860950343,,,
2022-04-19 13:09:40.203909,-0.0113160119723509,,,,,,
2022-04-19 15:34:40.112396,,,,0.0,,,
2022-04-20 13:09:40.203909,-0.0051485514651317,,,,,,
2022-04-20 15:34:40.112396,,,,0.0,,,
2022-04-21 13:09:40.203909,-0.0072469638786869,,,,,,
2022-04-21 15:34:40.112396,,,,-0.0002287433241635,,,
2022-04-22 13:09:40.203909,0.0,,,,,,
2022-04-22 15:34:40.112396,,,,0.0,,,
2022-04-25 13:09:40.203909,-0.0015268450515451,,,,,,
2022-04-25 15:34:40.112396,,,,0.0,,,
2022-04-26 13:09:40.203909,-0.0079160629086627,,,,,,
2022-04-26 15:34:40.112396,,,,0.0,,,
2022-04-27 13:09:40.203909,-0.0059369623178114,,,,,,
2022-04-27 15:34:40.112396,,,,-0.0105095164197659,,,
2022-04-28 13:09:40.203909,0.0,,,,,,
2022-04-28 15:34:40.112396,,,,-0.0157125437306416,,,
2022-04-29 13:09:40.203909,0.0,,,,,,
2022-04-29 15:34:40.112396,,,,-0.0224386040084487,,,
2022-05-02 13:09:40.203909,0.0,,,,,,
2022-05-02 15:34:40.112396,,,,-0.0311784071665918,,,
2022-05-03 13:09:40.203909,0.0,,,,,,
2022-05-03 15:34:40.112396,,,,-0.0387158921331938,,,
2022-05-04 13:09:40.203909,0.0,,,,,,
2022-05-04 15:34:40.112396,,,,-0.0386296733379584,,,
2022-05-05 13:09:40.203909,0.0,,,,,,
2022-05-05 15:34:40.112396,,,,-0.0422994163639565,,,
2022-05-06 13:09:40.203909,0.0,,,,,,
2022-05-06 15:34:40.112396,,,,-0.0277715013251891,,,
2022-05-09 13:09:40.203909,0.0,,,,,,
2022-05-09 15:34:40.112396,,,,-0.0170081219835348,,,
2022-05-10 13:09:40.203909,0.0,,,,,,
2022-05-10 15:34:40.112396,,,,-0.0002706394214727,,,
2022-05-11 13:09:40.203909,0.0,,,,,,
2022-05-11 15:34:40.112396,,,,-0.0028167394044301,,,
2022-05-12 13:09:40.203909,0.0,,,,,,
2022-05-12 15:34:40.112396,,,,0.0,,,
2022-05-13 13:09:40.203909,-0.0082691971897279,,,,,,
2022-05-13 15:34:40.112396,,,,0.0,,,
2022-05-16 13:09:40.203909,-0.0105483360960628,,,,,,
2022-05-16 15:34:40.112396,,,,-0.0145075929917423,,,
2022-05-17 13:09:40.203909,-0.0064890911714458,,,,,,
2022-05-17 15:34:40.112396,,,,-0.0240223078619685,,,
2022-05-18 13:09:40.203909,-0.005475056699963,,,,,,
2022-05-18 15:34:40.112396,,,,-0.0210176773736582,,,
2022-05-19 13:09:40.203909,-0.0074330185612981,,,,,,
2022-05-19 15:34:40.112396,,,,-0.0255067935725327,,,
2022-05-20 13:09:40.203909,0.0,,,,,,
2022-05-20 15:34:40.112396,,,,-0.0253998638015549,,,
2022-05-23 13:09:40.203909,-0.0097009977113627,,,,,,
2022-05-23 15:34:40.112396,,,,-0.0213503671591424,,,
2022-05-24 13:09:40.203909,-0.0093815038786497,,,,,,
2022-05-24 15:34:40.112396,,,,-0.025933043462294,,,
2022-05-25 13:09:40.203909,-0.0144371666937829,,,,,,
2022-05-25 15:34:40.112396,,,,-0.0130633832911259,,,
2022-05-26 13:09:40.203909,-0.0209531522598691,,,,,,
2022-05-26 15:34:40.112396,,,,-0.0215437837990344,,,
2022-05-27 13:09:40.203909,-0.0191449584407868,,,,,,
2022-05-27 15:34:40.112396,,,,-0.0180358339983066,,,
2022-05-30 13:09:40.203909,-0.0209823751004647,,,,,,
2022-05-30 15:34:40.112396,,,,-0.0057337364008771,,,
2022-05-31 13:09:40.203909,-0.0158374515783396,,,,,,
2022-05-31 15:34:40.112396,,,,0.0,,,
2022-06-01 13:09:40.203909,-0.0149031168678012,,,,,,
2022-06-01 15:34:40.112396,,,,-0.0063282482564323,,,
2022-06-02 13:09:40.203909,-0.015667900543458,,,,,,
2022-06-02 15:34:40.112396,,,,0.0,,,
2022-06-03 13:09:40.203909,-0.0284460275614453,,,,,,
2022-06-03 15:34:40.112396,,,,0.0,,,
2022-06-06 13:09:40.203909,-0.0272549410145205,,,,,,
2022-06-06 15:34:40.112396,,,,-0.0022206060422543,,,
2022-06-07 13:09:40.203909,-0.0221550067422543,,,,,,
2022-06-07 15:34:40.112396,,,,-0.0067515570219116,,,
2022-06-08 13:09:40.203909,-0.022074169153062,,,,,,
2022-06-08 15:34:40.112396,,,,-0.0063738618782758,,,
2022-06-09 13:09:40.203909,-0.0169417878845555,,,,,,
2022-06-09 15:34:40.112396,,,,-0.0026800930919117,,,
2022-06-10 13:09:40.203909,-0.01291650967875,,,,,,
2022-06-10 15:34:40.112396,,,,-0.0029234101739371,,,
2022-06-13 13:09:40.203909,-0.009336796488029,,,,,,
2022-06-13 15:34:40.112396,,,,0.0,,,
2022-06-14 13:09:40.203909,-0.0090382846725811,,,,,,
2022-06-14 15:34:40.112396,,,,0.0,,,
2022-06-15 13:09:40.203909,-0.0148277110498953,,,,,,
2022-06-15 15:34:40.112396,,,,-0.0031475759569195,,,
2022-06-16 13:09:40.203909,-0.0190793215153074,,,,,,
2022-06-16 15:34:40.112396,,,,-0.0097013086950323,,,
2022-06-17 13:09:40.203909,-0.021546948645574,,,,,,
2022-06-17 15:34:40.112396,,,,-0.0006718685763075,,,
2022-06-20 13:09:40.203909,-0.025394631931306,,,,,,
2022-06-20 15:34:40.112396,,,,0.0,,,
2022-06-21 13:09:40.203909,-0.0200506767141193,,,,,,
2022-06-21 15:34:40.112396,,,,0.0,,,
2022-06-22 13:09:40.203909,-0.0296419296926759,,,,,,
2022-06-22 15:34:40.112396,,,,-0.0150318154347068,,,
2022-06-23 13:09:40.203909,-0.0388499921247021,,,,,,
2022-06-23 15:34:40.112396,,,,-0.0194721544599487,,,
2022-06-24 13:09:40.203909,-0.0356051230848702,,,,,,
2022-06-24 15:34:40.112396,,,,-0.0052763073375072,,,
2022-06-27 13:09:40.203909,-0.0324342747210528,,,,,,
2022-06-27 15:34:40.112396,,,,-0.0021996969059996,,,
2022-06-28 13:09:40.203909,-0.0277257611426837,,,,,,
2022-06-28 15:34:40.112396,,,,0.0,,,
2022-06-29 13:09:40.203909,-0.0260152576355782,,,,,,
2022-06-29 15:34:40.112396,,,,0.0,,,
2022-06-30 13:09:40.203909,-0.0100509838881989,,,,,,
2022-06-30 15:34:40.112396,,,,0.0,,,
2022-07-01 13:09:40.203909,-0.0013826447313114,,,,,,
2022-07-01 15:34:40.112396,,,,-0.0003487933350848,,,
2022-07-04 13:09:40.203909,-0.0113853350701026,,,,,,
2022-07-04 15:34:40.112396,,,,0.0,,,
2022-07-05 13:09:40.203909,-0.0179933364697192,,,,,,
2022-07-05 15:34:40.112396,,,,0.0,,,
2022-07-06 13:09:40.203909,-0.0190593817959473,,,,,,
2022-07-06 15:34:40.112396,,,,0.0,,,
2022-07-07 13:09:40.203909,-0.012536522774059,,,,,,
2022-07-07 15:34:40.112396,,,,0.0,,,
2022-07-08 13:09:40.203909,-0.0256092393777764,,,,,,
2022-07-08 15:34:40.112396,,,,0.0,,,
2022-07-11 13:09:40.203909,-0.0354560414928604,,,,,,
2022-07-11 15:34:40.112396,,,,0.0,,,
2022-07-12 13:09:40.203909,-0.0371265445665016,,,,,,
2022-07-12 15:34:40.112396,,,,-0.0016116714888023,,,
2022-07-13 13:09:40.203909,-0.0276409553308013,,,,,,
2022-07-13 15:34:40.112396,,,,-0.0173331545947135,,,
2022-07-14 13:09:40.203909,-0.0147778418325594,,,,,,
2022-07-14 15:34:40.112396,,,,-0.0210597399564836,,,
2022-07-15 13:09:40.203909,-0.0182081547666257,,,,,,
2022-07-15 15:34:40.112396,,,,-0.0354662087769586,,,
2022-07-18 13:09:40.203909,-0.0188304473599626,,,,,,
2022-07-18 15:34:40.112396,,,,-0.0316789429224296,,,
2022-07-19 13:09:40.203909,-0.0136674761662358,,,,,,
2022-07-19 15:34:40.112396,,,,-0.0240993829282232,,,
2022-07-20 13:09:40.203909,-0.0083742125859982,,,,,,
2022-07-20 15:34:40.112396,,,,-0.0116008068076992,,,
2022-07-21 13:09:40.203909,-0.0054913383315283,,,,,,
2022-07-21 15:34:40.112396,,,,-0.0156675945884315,,,
2022-07-22 13:09:40.203909,-0.0185695536625382,,,,,,
2022-07-22 15:34:40.112396,,,,-0.0061155148518329,,,
2022-07-25 13:09:40.203909,-0.0263780177653889,,,,,,
2022-07-25 15:34:40.112396,,,,-0.0105279709261629,,,
2022-07-26 13:09:40.203909,-0.0316820124891333,,,,,,
2022-07-26 15:34:40.112396,,,,-0.0134523556663516,,,
2022-07-27 13:09:40.203909,-0.0266206715687044,,,,,,
2022-07-27 15:34:40.112396,,,,0.0,,,
2022-07-28 13:09:40.203909,-0.0162094713616591,,,,,,
2022-07-28 15:34:40.112396,,,,0.0,,,
2022-07-29 13:09:40.203909,-0.0046289440182818,,,,,,
2022-07-29 15:34:40.112396,,,,-0.0031874810525519,,,
2022-08-01 13:09:40.203909,-0.0071033171944877,,,,,,
2022-08-01 15:34:40.112396,,,,-0.0029818838617582,,,
2022-08-02 13:09:40.203909,0.0,,,,,,
2022-08-02 15:34:40.112396,,,,-0.0082957687440211,,,
2022-08-03 13:09:40.203909,0.0,,,,,,
2022-08-03 15:34:40.112396,,,,-0.0037877799587678,,,
2022-08-04 13:09:40.203909,-0.0013306243392768,,,,,,
2022-08-04 15:34:40.112396,,,,0.0,,,
2022-08-05 13:09:40.203909,0.0,,,,,,
2022-08-05 15:34:40.112396,,,,-0.0120202079349207,,,
2022-08-08 13:09:40.203909,0.0,,,,,,
2022-08-08 15:34:40.112396,,,,-0.0132655310959177,,,
2022-08-09 13:09:40.203909,0.0,,,,,,
2022-08-09 15:34:40.112396,,,,-0.0199521475298616,,,
2022-08-10 13:09:40.203909,0.0,,,,,,
2022-08-10 15:34:40.112396,,,,-0.0175327904282651,,,
2022-08-11 13:09:40.203909,0.0,,,,,,
2022-08-11 15:34:40.112396,,,,-0.0323903093210639,,,
2022-08-12 13:09:40.203909,0.0,,,,,,
2022-08-12 15:34:40.112396,,,,-0.0324443048049558,,,
2022-08-15 13:09:40.203909,0.0,,,,,,
2022-08-15 15:34:40.112396,,,,-0.0262639923484693,,,
2022-08-16 13:09:40.203909,-0.0059805968187262,,,,,,
2022-08-16 15:34:40.112396,,,,-0.0352955375230369,,,
2022-08-17 13:09:40.203909,-0.0012727684985308,,,,,,
2022-08-17 15:34:40.112396,,,,-0.0530180080847794,,,
2022-08-18 13:09:40.203909,0.0,,,,,,
2022-08-18 15:34:40.112396,,,,-0.0667242186896268,,,
2022-08-19 13:09:40.203909,-0.0054696063531969,,,,,,
2022-08-19 15:34:40.112396,,,,-0.064251058275737,,,
2022-08-22 13:09:40.203909,-0.0061964662784167,,,,,,
2022-08-22 15:34:40.112396,,,,-0.063461390662548,,,
2022-08-23 13:09:40.203909,-0.0009669344719824,,,,,,
2022-08-23 15:34:40.112396,,,,-0.0492268121224866,,,
2022-08-24 13:09:40.203909,0.0,,,,,,
2022-08-24 15:34:40.112396,,,,-0.0426780724141649,,,
2022-08-25 13:09:40.203909,-0.0132036141611181,,,,,,
2022-08-25 15:34:40.112396,,,,-0.0475987441273568,,,
2022-08-26 13:09:40.203909,-0.0294196598784273,,,,,,
2022-08-26 15:34:40.112396,,,,-0.0474164029725497,,,
2022-08-29 13:09:40.203909,-0.0177846778861789,,,,,,
2022-08-29 15:34:40.112396,,,,-0.0520161889118149,,,
2022-08-30 13:09:40.203909,-0.0157343376223068,,,,,,
2022-08-30 15:34:40.112396,,,,-0.0377879797793929,,,
2022-08-31 13:09:40.203909,-0.026321459869101,,,,,,
2022-08-31 15:34:40.112396,,,,-0.0283778848815526,,,
2022-09-01 13:09:40.203909,-0.0289692480696306,,,,,,
2022-09-01 15:34:40.112396,,,,-0.0364307948058393,,,
2022-09-02 13:09:40.203909,-0.0308641703147892,,,,,,
2022-09-02 15:34:40.112396,,,,-0.0217801716288139,,,
2022-09-05 13:09:40.203909,-0.0316528731806933,,,,,,
2022-09-05 15:34:40.112396,,,,-0.0247833575720463,,,
2022-09-06 13:09:40.203909,-0.0164999991716983,,,,,,
2022-09-06 15:34:40.112396,,,,-0.0299919822413795,,,
2022-09-07 13:09:40.203909,-0.0110300877211431,,,,,,
2022-09-07 15:34:40.112396,,,,-0.0422611978818839,,,
2022-09-08 13:09:40.203909,-0.0126824595202682,,,,,,
2022-09-08 15:34:40.112396,,,,-0.0395713523141318,,,
2022-09-09 13:09:40.203909,-0.0115168792361634,,,,,,
2022-09-09 15:34:40.112396,,,,-0.0419040329527813,,,
2022-09-12 13:09:40.203909,0.0,,,,,,
2022-09-12 15:34:40.112396,,,,-0.0526482870010805,,,
2022-09-13 13:09:40.203909,0.0,,,,,,
2022-09-13 15:34:40.112396,,,,-0.0510259228584363,,,
2022-09-14 13:09:40.203909,0.0,,,,,,
2022-09-14 15:34:40.112396,,,,-0.0345274028854418,,,
2022-09-15 13:09:40.203909,0.0,,,,,,
2022-09-15 15:34:40.112396,,,,-0.0235815432154495,,,
2022-09-16 13:09:40.203909,0.0,,,,,,
2022-09-16 15:34:40.112396,,,,-0.0234667351661661,,,
2022-09-19 13:09:40.203909,-0.0011937907977846,,,,,,
2022-09-19 15:34:40.112396,,,,-0.0176022816190499,,,
2022-09-20 13:09:40.203909,0.0,,,,,,
2022-09-20 15:34:40.112396,,,,-0.0181659939688635,,,
2022-09-21 13:09:40.203909,-0.0048412997710418,,,,,,
2022-09-21 15:34:40.112396,,,,-0.012397770331739,,,
2022-09-22 13:09:40.203909,-0.0099670557146572,,,,,,
2022-09-22 15:34:40.112396,,,,-0.0091923189248008,,,
2022-09-23 13:09:40.203909,-0.0109081264748779,,,,,,
2022-09-23 15:34:40.112396,,,,-0.0079907281333813,,,
2022-09-26 13:09:40.203909,-0.019343987579575,,,,,,
2022-09-26 15:34:40.112396,,,,-0.0179969138079947,,,
2022-09-27 13:09:40.203909,-0.0257488127201264,,,,,,
2022-09-27 15:34:40.112396,,,,-0.01320017010327,,,
2022-09-28 13:09:40.203909,-0.0251468332930984,,,,,,
2022-09-28 15:34:40.112396,,,,-0.0147888904440238,,,
2022-09-29 13:09:40.203909,-0.0173201308310024,,,,,,
2022-09-29 15:34:40.112396,,,,-0.0234680648386363,,,
2022-09-30 13:09:40.203909,-0.0202831806095904,,,,,,
2022-09-30 15:34:40.112396,,,,-0.0317180851000092,,,
2022-10-03 13:09:40.203909,-0.0281758222185964,,,,,,
2022-10-03 15:34:40.112396,,,,-0.0317171097530709,,,
2022-10-04 13:09:40.203909,-0.0185311504436824,,,,,,
2022-10-04 15:34:40.112396,,,,-0.0116303331615593,,,
2022-10-05 13:09:40.203909,-0.0227022341984812,,,,,,
2022-10-05 15:34:40.112396,,,,-0.0295899458567455,,,
2022-10-06 13:09:40.203909,-0.0130777888018843,,,,,,
2022-10-06 15:34:40.112396,,,,-0.0200002249097283,,,
2022-10-07 13:09:40.203909,-0.0183241021777096,,,,,,
2022-10-07 15:34:40.112396,,,,-0.0312289968804552,,,
2022-10-10 13:09:40.203909,-0.0198794464193793,,,,,,
2022-10-10 15:34:40.112396,,,,-0.0471486332916916,,,
2022-10-11 13:09:40.203909,-0.0211716138439294,,,,,,
2022-10-11 15:34:40.112396,,,,-0.0443722628073683,,,
2022-10-12 13:09:40.203909,-0.0221836335763194,,,,,,
2022-10-12 15:34:40.112396,,,,-0.0507439478648928,,,
2022-10-13 13:09:40.203909,-0.029349360960559,,,,,,
2022-10-13 15:34:40.112396,,,,-0.0496507172606095,,,
2022-10-14 13:09:40.203909,-0.0267939590044669,,,,,,
